City,State,BankState,Term,NoEmp,NewExist,UrbanRural,DisbursementGross,MIS_Status
GREENSBORO,NC,SD,36,13,New Business,Urban,115000,0
PHOENIX,AZ,SD,6,25,New Business,Urban,62868,1
GREENSBORO,NC,SD,12,13,New Business,Urban,50000,0
RIDGEFIELD,NJ,NY,74,2,New Business,Urban,200000,1
CANTON,GA,GA,240,12,Existing Business,Undefined,316000,0
AVON,CT,DE,84,4,Existing Business,Urban,20000,0
LINEVILLE,AL,SD,12,25,Existing Business,Urban,50000,0
PHOENIX,AZ,CO,84,3,New Business,Urban,235000,0
BOHEMIA,NY,NY,18,7,New Business,Urban,78227,1
FAIRFAX,VT,DE,240,1,Existing Business,Rural,160000,0
LAS VEGAS,NV,SD,18,5,New Business,Urban,77672,1
FAIRFAX,VT,DE,84,1,Existing Business,Rural,10000,0
LOS ANGELES,CA,NV,84,2,Existing Business,Rural,28500,0
ATLANTA,GA,SD,36,35,New Business,Urban,233945,0
HOUSTON,TX,IL,84,2,New Business,Rural,26287,0
MARIETTA,GA,SD,48,11,New Business,Urban,419222,0
FOND DU LAC,WI,IL,93,2,New Business,Undefined,165000,0
MANCHESTER,NH,DE,28,5,New Business,Urban,68000,1
TEWKSBURY,MA,DE,60,1,New Business,Urban,52000,0
FRESNO,CA,CA,240,3,New Business,Urban,150000,0
BRENHAM,TX,TX,84,3,Existing Business,Undefined,85000,0
JACKSON,MS,MS,48,1,New Business,Urban,22700,0
RUMFORD,RI,RI,84,1,Existing Business,Urban,30303,0
HAMPSTEAD,NH,DE,14,4,New Business,Urban,55656,1
NAMPA,ID,ID,49,1,New Business,Rural,49230,1
DRIPPING SPRINGS,TX,TX,240,10,Existing Business,Undefined,214000,0
RIDGELAND,MS,MS,84,4,Existing Business,Urban,710032,0
HALTOM CITY,TX,TX,62,1,Existing Business,Urban,100000,1
CHESHIRE,CT,DE,180,7,New Business,Urban,110000,0
NORTH BILLERICA,MA,DE,60,1,Existing Business,Urban,45000,0
NEW YORK,NY,NY,84,3,New Business,Urban,54883,0
WEST WARWICK,RI,RI,120,6,Existing Business,Undefined,40000,0
NORTH BILLERICA,MA,DE,84,1,Existing Business,Urban,69857,0
YOUNGSVILLE,LA,LA,84,3,Existing Business,Undefined,85000,0
HANOVER,MA,DE,60,8,New Business,Urban,120000,0
WHEATRIDGE,CO,CO,240,15,New Business,Undefined,286000,0
SHENANDOAH,TX,TX,240,1,Existing Business,Undefined,707000,0
DUPONT,WA,OH,120,7,Existing Business,Urban,95000,0
CHEYENNE,WY,WY,60,7,New Business,Undefined,12000,0
CUMBERLAND CENTER,ME,DE,240,2,New Business,Rural,113500,0
ST. JOSEPH,IN,IL,240,1,Existing Business,Undefined,179000,0
WEST NEWBURY,MA,DE,58,1,Existing Business,Urban,20000,1
PROVO,UT,UT,240,20,New Business,Undefined,300000,0
BOXFORD,MA,DE,0,1,New Business,Urban,36321,1
NORWALK,OH,OH,240,25,New Business,Undefined,258000,0
GOFFSTOWN,NH,DE,48,2,Existing Business,Urban,20000,0
WILLIAMSVILLE,NY,NY,72,2,Existing Business,Undefined,100000,0
GOFFSTOWN,NH,DE,84,2,Existing Business,Urban,30000,0
NORWALK,OH,OH,84,25,New Business,Undefined,92000,0
EXETER,NH,DE,120,4,New Business,Urban,112000,0
OGDEN,UT,UT,240,6,New Business,Undefined,120000,0
SOUTH HADLEY,MA,DE,119,2,New Business,Urban,82000,0
SOUTHBURY,CT,DE,30,4,New Business,Rural,87000,1
JOPPA,MD,MD,84,8,Existing Business,Undefined,70000,0
BOULDER,CO,NM,60,8,Existing Business,Undefined,100000,0
WATERBURY,CT,DE,84,9,Existing Business,Urban,25000,0
THERMAL,CA,CA,300,70,New Business,Undefined,487233,0
BOLTON,MA,DE,84,10,New Business,Urban,335000,0
BRANDON,VT,DE,120,1,Existing Business,Rural,33025,0
PORTLAND,ME,DE,84,5,Existing Business,Rural,83064,0
LAKEWOOD,WA,OH,120,22,Existing Business,Urban,70000,0
FULLERTON,CA,CA,300,8,New Business,Undefined,100000,0
FULTON,MS,MS,18,4,New Business,Rural,19500,0
LAWRENCE,MA,DE,59,1,Existing Business,Urban,5128,1
KILLINGWORTH,CT,DE,108,14,New Business,Rural,8860,0
KIMBERLY,WI,WI,72,11,New Business,Urban,50000,0
KIMBERLY,WI,WI,84,11,New Business,Urban,351345,0
MIDDLETOWN,CT,DE,60,1,Existing Business,Urban,30000,0
HENDERSON,NV,NV,65,5,New Business,Urban,25000,1
GREENWICH,NY,DE,180,2,Existing Business,Rural,85000,0
MORGANTOWN,WV,CA,84,3,New Business,Rural,15000,0
TAMPA,FL,IL,84,1,New Business,Urban,26497,0
WILBRAHAM,MA,DE,84,1,Existing Business,Urban,27500,0
MANASSAS PARK,VA,VA,84,2,New Business,Undefined,65000,0
ALBANY,NY,DE,84,2,Existing Business,Urban,60000,0
DENTON,TX,SD,300,20,New Business,Undefined,1696000,0
ALBANY,NY,DE,84,2,Existing Business,Urban,70672,0
HICKORY,NC,NC,98,12,New Business,Rural,160000,0
FAIRMONT,WV,WV,191,1,Existing Business,Undefined,54000,0
WELLS,VT,DE,60,1,Existing Business,Rural,38700,0
MIAMI,FL,IL,29,6,New Business,Urban,102280,1
KINGSTON,NH,DE,116,1,Existing Business,Urban,25000,0
BURNEY,CA,CA,84,2,New Business,Undefined,50000,0
JACKSON,MS,MS,120,2,New Business,Urban,67500,0
SOUTH LYON,MI,SD,21,7,New Business,Urban,71072,1
OAKLAND,CA,CA,84,1,Existing Business,Urban,50000,0
SCARBOROUGH,ME,DE,18,15,New Business,Rural,100000,0
MOUNT PLEASANT,TX,TX,60,2,Existing Business,Undefined,17216,0
LAKEWOOD,CO,CO,300,9,New Business,Urban,1080000,0
GRAY,ME,DE,60,1,New Business,Rural,65000,0
SCARBOROUGH,ME,DE,71,1,Existing Business,Urban,45500,0
RIDGELAND,SC,SC,84,1,Existing Business,Rural,104000,0
BRANDON,MS,MS,44,0,Existing Business,Rural,84168,0
ROXBORO,NC,SD,36,24,Existing Business,Urban,250000,0
SMITHFIELD,RI,RI,12,5,New Business,Rural,163300,1
WEST HARTFORD,CT,DE,84,1,New Business,Urban,220275,0
RIVERSIDE,CA,CA,228,20,New Business,Undefined,1450000,0
PETAL,MS,MS,60,6,Existing Business,Rural,412258,0
FREMONT,CA,CA,240,66,New Business,Undefined,246000,0
RAYMOND,MS,MS,36,2,Existing Business,Rural,13700,0
SOMERSET,KY,KY,240,7,Existing Business,Rural,131000,0
MERCERVILLE,NJ,DE,10,6,New Business,Undefined,1000000,0
EASTON,PA,NC,64,4,Existing Business,Undefined,100000,1
SOUTHINGTON,CT,DE,84,2,Existing Business,Urban,264318,0
BILLINGS,MT,MT,12,40,New Business,Urban,400000,0
BROOKHAVEN,MS,MS,48,1,New Business,Rural,11000,0
PLAINS,PA,PA,84,4,Existing Business,Undefined,110000,0
HARRISON,OH,OH,76,2,Existing Business,Urban,115000,1
HOUSTON,TX,SD,60,4,Existing Business,Urban,52364,0
MONROE,CT,CT,138,6,New Business,Undefined,115000,0
DANBURY,CT,CT,120,1,New Business,Undefined,75000,0
CHESTER,VA,SD,60,4,Existing Business,Urban,75000,0
MISSOULA,MT,MT,113,2,Existing Business,Urban,100000,0
BENSON,VT,DE,60,4,New Business,Rural,12000,0
RED LODGE,MT,MT,180,2,New Business,Rural,100000,0
CONCORD,NH,DE,84,1,Existing Business,Urban,56400,0
NEWTON,NH,DE,11,1,New Business,Urban,26000,0
BOTHELL,WA,WA,240,15,New Business,Undefined,399000,0
FALMOUTH,ME,DE,84,16,Existing Business,Rural,599000,0
ENGLEWOOD,FL,SD,60,14,New Business,Urban,172594,0
DALLAS,TX,WA,120,9,Existing Business,Undefined,224000,0
NASHUA,NH,DE,60,2,Existing Business,Urban,40000,0
"COUER D'ALENE,",ID,ID,120,3,Existing Business,Undefined,235000,0
GLOUCESTER,MA,DE,36,4,New Business,Urban,37500,0
CENTER OSSIPEE,NH,DE,60,4,Existing Business,Rural,120000,0
BURLINGTON,WA,WA,144,14,New Business,Undefined,80000,0
FLOWOOD,MS,MS,12,10,New Business,Rural,25200,0
WORCESTER,MA,DE,60,12,New Business,Urban,86600,0
AGAWAM,MA,DE,84,1,Existing Business,Urban,75000,0
ACTON,ME,DE,4,2,Existing Business,Rural,55000,1
RIDGELAND,MS,MS,82,2,Existing Business,Urban,150033,0
BOYLSTON,MA,DE,5,5,New Business,Urban,106238,1
HOOKSETT,NH,DE,84,1,New Business,Rural,78100,0
ROCHESTER,NH,DE,84,1,New Business,Urban,44000,0
MAGEE,MS,MS,82,2,Existing Business,Rural,64654,0
SIMSBURY,CT,DE,84,4,Existing Business,Rural,11500,0
MERIDIAN,MS,MS,48,1,New Business,Rural,49800,0
BROCKTON,MA,DE,84,5,Existing Business,Urban,21982,0
BROCKTON,MA,DE,60,5,Existing Business,Urban,40000,0
SOUTHINGTON,CT,DE,84,2,Existing Business,Rural,253800,0
DOUGLASVILLE,GA,SD,48,12,New Business,Urban,80000,0
GREENVILLE,MS,MS,36,1,New Business,Rural,5100,0
ALBANY,NY,NY,60,3,New Business,Urban,25000,0
LAWRENCE,MA,DE,84,1,Existing Business,Urban,17418,0
IPSWICH,MA,DE,84,2,New Business,Rural,22500,0
BEAUMONT,MS,MS,36,4,New Business,Rural,26000,0
MADISON,AL,SD,60,0,Existing Business,Urban,125000,0
LATHAM,NY,DE,62,1,Existing Business,Rural,20000,1
HEBRON,CT,DE,60,2,Existing Business,Rural,20000,0
YORK,ME,DE,1,4,New Business,Rural,49735,1
BALDWINSVILLE,NY,NY,60,1,Existing Business,Urban,27825,0
NEWINGTON,CT,DE,84,2,Existing Business,Rural,481812,0
MAYVILLE,NY,NY,60,2,New Business,Rural,14999,0
HORSHAM,PA,PA,60,22,New Business,Rural,425000,0
CONSHOHOCKEN,PA,PA,60,8,Existing Business,Rural,75000,0
LOUISVILLE,KY,KY,84,8,Existing Business,Undefined,75000,0
ENDICOTT,NY,NY,60,36,Existing Business,Urban,150000,0
BEDFORD,NH,NH,240,5,New Business,Undefined,234000,0
HAMBURG,PA,NY,60,2,New Business,Urban,11000,0
NEWMARKET,NH,DE,60,9,New Business,Urban,60000,0
WEST CHESTER,OH,OH,240,9,New Business,Undefined,288000,0
HYATTSVILLE,MD,MD,60,27,New Business,Urban,371000,0
COZAD,NE,NE,180,2,New Business,Undefined,294300,0
MENDENHALL,MS,MS,74,4,New Business,Rural,345355,0
BRISTOL,NH,DE,84,2,Existing Business,Rural,36000,0
LARCHWOOD,IA,IA,120,1,New Business,Undefined,21000,0
BRISTOL,NH,DE,240,2,Existing Business,Rural,214000,0
NEW IBERIA,LA,LA,72,4,New Business,Undefined,65000,0
CONCORD,NH,DE,84,2,Existing Business,Rural,35000,0
NEW MARTINSVILLE,WV,OH,180,5,New Business,Undefined,211000,0
LAUREL,MS,MS,71,4,New Business,Rural,50400,0
SALEM,NY,NY,240,3,Existing Business,Undefined,100000,0
EAST HARTFORD,CT,DE,84,1,New Business,Urban,10000,0
MIDWAY,KY,IL,60,14,New Business,Undefined,25000,0
HUNTSVILLE,AL,SD,60,2,New Business,Urban,150000,0
CHICAGO,IL,IL,96,7,New Business,Undefined,40000,0
ROCKY HILL,CT,DE,60,5,New Business,Rural,30000,0
ROGERS,AR,AR,96,1,Existing Business,Undefined,56400,0
BIRMINGHAM,AL,AL,53,4,Existing Business,Undefined,195000,1
OXFORD,ME,DE,84,1,Existing Business,Rural,26948,0
WARREN,MI,MI,12,2000,New Business,Undefined,400000,0
MIDDLEBURG,FL,SD,60,9,Existing Business,Urban,125000,0
HANOVER,NH,VT,12,9,New Business,Undefined,65000,0
WEST TOPSHAM,VT,DE,84,1,New Business,Rural,120000,0
HORSEHEADS,NY,NY,84,3,New Business,Undefined,30000,0
TYNGSBORO,MA,DE,84,2,Existing Business,Urban,10000,0
MONTICELLO,IA,IA,84,2,Existing Business,Undefined,70000,0
CHESTER,VT,DE,60,1,Existing Business,Rural,60000,0
DAYTON,OH,IL,72,20,Existing Business,Undefined,800000,0
PHILA,PA,PA,84,4,Existing Business,Undefined,60000,0
TROY,NY,DE,84,4,New Business,Rural,59469,0
TROY,NY,DE,84,4,New Business,Rural,83917,0
CUMBERLAND CENTER,ME,DE,84,1,Existing Business,Rural,40350,0
MICHIGAN CITY,IN,IL,65,1,Existing Business,Urban,200000,0
VANCEBURG,KY,KY,120,15,New Business,Undefined,245000,0
BELCAMP,MD,MD,60,5,New Business,Urban,81000,0
SALEM,MA,MA,84,4,New Business,Undefined,30000,0
REDONDO BEACH,CA,CA,120,1,Existing Business,Undefined,90000,0
BROOKHAVEN,MS,MS,10,5,Existing Business,Rural,50400,1
ITHACA,NY,NY,84,12,New Business,Undefined,170000,0
FREMONT,NH,DE,36,1,Existing Business,Rural,10200,0
FERDINAND,IN,IL,240,6,New Business,Urban,1800000,0
HOULTON,ME,DE,191,4,New Business,Rural,88000,1
CLEVELAND,OH,IL,6,7,New Business,Undefined,30000,1
NEWBURYPORT,MA,DE,84,14,New Business,Urban,50000,0
HOULTON,ME,DE,9,4,New Business,Rural,47000,1
DAVIS,CA,TX,120,4,New Business,Undefined,102000,0
JUNEAU,WI,WI,84,2,Existing Business,Rural,10000,0
ELMA,NY,NY,60,10,New Business,Urban,25000,0
WOODBINE,IA,IA,180,2,Existing Business,Rural,149400,0
CHANDLER,AZ,IL,60,4,New Business,Undefined,52500,0
ROCHESTER,NH,DE,7,1,New Business,Urban,222581,1
POMONA,CA,CA,300,28,New Business,Undefined,1000000,0
WEARE,NH,DE,84,22,New Business,Urban,193360,0
PLAIN CITY,OH,IN,48,6,New Business,Rural,110893,0
SALEM,MA,MA,84,2,Existing Business,Undefined,45000,0
SAN JOSE,CA,DC,120,1,New Business,Undefined,210000,0
COLCHESTER,CT,DE,84,2,Existing Business,Rural,25874,0
SANTA CRUZ,CA,SD,300,10,New Business,Undefined,625000,0
COLLEGEVILLE,PA,PA,60,0,Existing Business,Rural,65003,0
PLAIN CITY,OH,IN,24,6,New Business,Rural,60000,0
WAKEFIELD,MA,DE,84,3,New Business,Urban,64000,0
RICHMOND,CA,MO,300,30,New Business,Undefined,306000,0
OXNARD,CA,CA,303,19,New Business,Undefined,479333,0
GLOUCESTER,MA,DE,84,1,New Business,Urban,10000,0
GLOUCESTER,MA,DE,60,1,New Business,Urban,30000,0
BENTON,AR,AR,60,4,Existing Business,Undefined,37000,0
SPRINGFIELD,IL,IL,54,3,New Business,Urban,40500,0
BUCKSPORT,ME,DE,60,1,Existing Business,Rural,31500,0
ANTIOCH,CA,CA,120,56,New Business,Undefined,309000,0
WOLCOTT,CT,DE,60,6,New Business,Urban,75000,0
MORGANTON,NC,NC,120,6,New Business,Rural,107000,0
SUWANEE,GA,SD,60,5,Existing Business,Urban,250000,0
PLEASANT HILL,CA,CA,240,10,New Business,Undefined,329000,0
DERRY,NH,DE,19,1,Existing Business,Rural,11000,0
MATTAPOISETT,MA,NC,60,2,Existing Business,Undefined,18749,0
HUDSON FALLS,NY,DE,84,2,New Business,Rural,45000,0
BRANSON,MO,MO,12,13,New Business,Rural,100000,0
HUDSON FALLS,NY,DE,84,2,New Business,Rural,35500,0
TELFORD,PA,PA,84,17,New Business,Rural,150000,0
FARIBAULT,MN,MN,84,1,New Business,Rural,58532,0
OGUNQUIT,ME,DE,60,2,Existing Business,Rural,55000,0
FORT COLLINS,CO,IL,84,1,New Business,Rural,13000,0
OGUNQUIT,ME,DE,84,2,Existing Business,Rural,14167,0
CHINO HILLS,CA,IL,84,4,New Business,Rural,59885,0
HAMPSTEAD,MD,MD,0,1,Existing Business,Urban,24800,1
BALDWIN PARK,CA,CA,84,4,Existing Business,Urban,100000,0
HAMPSTEAD,MD,MD,48,1,Existing Business,Urban,18900,0
LOS ANGELES,CA,SD,61,30,New Business,Undefined,100000,0
APPLETON,WI,WI,84,6,New Business,Urban,80000,0
ANCHORAGE,AK,SD,15,1,New Business,Urban,72706,1
APPLETON,WI,WI,84,2,New Business,Urban,45045,0
COEUR D'ALENE,ID,ID,23,1,New Business,Rural,40000,1
CORDOVA,TN,MS,48,0,Existing Business,Urban,30000,1
BENSENVILLE,IL,IL,120,3,New Business,Urban,1164000,0
DOUGLASVILLE,GA,SD,60,6,New Business,Urban,200000,0
LOS GATOS,CA,IL,2,1,New Business,Rural,55415,0
SUNNYVALE,CA,TX,84,19,New Business,Undefined,75000,0
DOYLESTOWN,PA,PA,120,8,Existing Business,Rural,37292,0
AUSTIN,TX,AL,84,2,Existing Business,Urban,170311,0
ENGLEWOOD,CO,CO,84,20,New Business,Undefined,150000,0
TALLMADGE,OH,OH,76,2,Existing Business,Urban,50000,0
SAINT CHARLES,IL,NV,84,1,New Business,Rural,56323,0
SILVER SPRING,MD,MD,60,11,New Business,Urban,50000,0
SILVER SPRING,MD,MD,60,11,New Business,Urban,150000,0
SAN DIEGO,CA,SD,49,1,New Business,Urban,21898,1
FRANKLIN,ME,DE,60,1,New Business,Rural,20800,0
BEAVERTON,OR,TX,300,2,New Business,Undefined,240000,0
FRANKLIN,ME,DE,84,1,New Business,Rural,5000,0
FITCHBURG,MA,DE,60,3,Existing Business,Urban,15473,0
LAS VEGAS,NV,CA,60,2,New Business,Urban,51020,0
SYRACUSE,NY,NY,60,11,New Business,Urban,25000,0
KEY WEST,FL,OH,292,5,Existing Business,Undefined,390000,0
LEBANON,PA,NY,60,28,Existing Business,Urban,35000,0
OCEANSIDE,CA,CA,45,1,New Business,Urban,53500,1
BROOKLYN,NY,PR,85,7,Existing Business,Undefined,85000,0
WOODBURY,CT,CT,84,9,New Business,Undefined,35000,0
BEDFORD,NH,DE,240,1,Existing Business,Rural,88000,0
COON RAPIDS (RR NAME COON CREE,MN,MN,84,3,Existing Business,Urban,140000,0
ARLINGTON HEIGHTS,IL,IL,60,1,New Business,Undefined,25000,0
NORTH WALES,PA,PA,84,10,New Business,Rural,225250,0
BERWICK,PA,NY,120,4,New Business,Undefined,375000,0
LOWELL,MA,DE,84,1,Existing Business,Urban,46000,0
BIG COVE,AL,CA,27,3,Existing Business,Rural,10000,1
NEENAH,WI,WI,72,4,New Business,Undefined,27000,0
FARMINGDALE,NY,NY,99,6,New Business,Undefined,70000,0
SOUTHAVEN,MS,MS,24,4,Existing Business,Urban,50400,0
HIDDEN HILLS,CA,CA,25,2,Existing Business,Urban,638853,0
MINNEAPOLIS,MN,MN,240,19,New Business,Undefined,170000,0
RANDOLPH,MA,DE,84,10,New Business,Urban,260885,0
RANDOLPH,MA,DE,24,10,New Business,Urban,50000,0
HIALEAH GARDENS,FL,AL,84,3,Existing Business,Undefined,45000,0
LOWELL,MA,DE,84,3,Existing Business,Urban,10500,0
SUTTONS BAY,MI,MI,240,2,Existing Business,Undefined,225000,0
MONTPELIER,VT,DE,60,2,New Business,Rural,37000,0
TULSA,OK,OK,84,2,Existing Business,Urban,200000,0
ITHACA,NY,NY,48,16,New Business,Undefined,25000,0
OOSTBURG,WI,WI,240,14,New Business,Undefined,80000,0
BALDWINSVILLE,NY,NY,60,2,Existing Business,Urban,110000,0
WESTMINSTER,CO,AL,84,7,New Business,Urban,102805,0
EL CENTRO,CA,CA,120,7,Existing Business,Undefined,219000,0
AMSTERDAM,NY,NY,60,18,New Business,Rural,150000,0
HOLDEN,ME,DE,240,3,Existing Business,Rural,150000,0
JACKSON,MS,MS,84,2,Existing Business,Undefined,25000,0
PHILADELPHIA,PA,PA,84,2,New Business,Urban,259171,0
ATHOL,MA,DE,84,5,New Business,Urban,82000,0
ATHOL,MA,DE,84,5,New Business,Urban,50000,0
CHICAGO,IL,IL,60,2,New Business,Undefined,80000,0
WEST HARTFORD,CT,DE,60,2,Existing Business,Rural,40000,0
EASTON,MD,MD,60,1,Existing Business,Urban,30000,0
HATFIELD,PA,PA,36,2,New Business,Rural,34000,0
AVON,CT,CT,120,75,Existing Business,Undefined,70000,0
WINDHAM,NH,DE,84,2,Existing Business,Rural,50000,0
CHESAPEAKE,VA,VA,84,12,Existing Business,Undefined,96500,0
NEW YORK,NY,NY,85,1,New Business,Undefined,74000,0
PLAISTOW,NH,DE,60,9,Existing Business,Rural,54000,0
PLAISTOW,NH,DE,84,9,Existing Business,Rural,24661,0
WOONSOCKET,RI,NY,120,3,Existing Business,Undefined,134000,0
WILLISTON,VT,DE,84,1,Existing Business,Urban,39964,0
EDWARDSVILLE,IL,IL,84,20,Existing Business,Urban,248000,0
ARUNDEL,ME,DE,240,2,Existing Business,Rural,200000,0
ARUNDEL,ME,DE,60,2,Existing Business,Rural,44480,0
MAHOMET,IL,IL,84,5,Existing Business,Undefined,25000,0
KAUKAUNA,WI,WI,84,2,New Business,Urban,25000,0
EAGAN,MN,SD,120,6,New Business,Urban,708800,0
KAUKAUNA,WI,WI,84,2,New Business,Urban,66499,0
LA CROSSE,WI,WI,98,20,Existing Business,Urban,56164,1
SALEM,MA,DE,60,6,New Business,Urban,100000,0
JACKSON,MS,MS,118,3,Existing Business,Urban,94499,0
BOZEMAN,MT,MT,60,2,New Business,Rural,40000,0
JACKSON,MS,MS,83,2,New Business,Urban,116565,0
ROCKFORD,IL,WI,84,2,Existing Business,Urban,44100,0
FRAMINGHAM,MA,MA,72,2,Existing Business,Undefined,30000,0
ROCKVILLE,MD,MD,60,3,Existing Business,Urban,55000,0
PORT MONMOUTH,NJ,NJ,36,6,New Business,Urban,291474,0
BRUNSWICK,ME,DE,19,1,New Business,Rural,16173,1
BIDDEFORD,ME,ME,60,7,New Business,Undefined,30000,0
LANCASTER,CA,IL,84,1,Existing Business,Rural,59740,0
SCHOHARIE,NY,NY,36,2,Existing Business,Rural,25000,0
MONTCLAIR,NJ,NY,36,2,New Business,Undefined,10000,0
SYKESVILLE,MD,MD,60,1,Existing Business,Urban,25000,0
SAN ANTONIO,TX,AL,27,1,New Business,Urban,43699,1
SYKESVILLE,MD,MD,60,1,Existing Business,Urban,25000,0
HOUSTON,TX,AL,240,8,New Business,Urban,564000,0
BINGHAMTON,NY,NY,60,2,New Business,Rural,209839,0
CUSHING,OK,OK,240,4,New Business,Rural,150000,0
WEST FRANKFORT,IL,IL,73,5,Existing Business,Undefined,20000,1
JACKSONVILLE,FL,SD,60,0,Existing Business,Urban,128000,0
GLENDIVE,MT,MT,84,2,New Business,Rural,75000,0
HIGH POINT,NC,SD,60,10,New Business,Urban,150000,0
CANTON,ME,ME,93,2,New Business,Rural,54600,0
LIVERPOOL,NY,NY,2,3,Existing Business,Urban,100000,1
CHICAGO,IL,CA,48,3,New Business,Urban,38000,0
GRAYSLAKE,IL,IL,84,3,Existing Business,Undefined,50000,0
JACKSON,MS,MS,36,1,Existing Business,Urban,9200,0
BELLEVUE,WA,IL,39,2,New Business,Rural,28798,1
NEENAH,WI,WI,84,9,New Business,Urban,26457,0
SALEM,CT,CT,87,6,Existing Business,Rural,134500,0
EL DORADO,KS,SC,132,2,Existing Business,Undefined,500000,0
TEWKSBURY,MA,DE,24,5,Existing Business,Urban,35000,0
RAYMOND,MS,MS,36,2,Existing Business,Rural,15200,0
MIZE,MS,MS,36,3,Existing Business,Rural,6100,0
NEW YORK,NY,NJ,88,6,Existing Business,Urban,350000,1
NORWOOD,PA,DE,180,1,New Business,Undefined,67000,0
BEVERLY,MA,DE,166,1,New Business,Urban,250000,1
GREENVILLE,PA,DE,35,6,Existing Business,Undefined,80000,1
LEBANON,PA,NY,84,1,Existing Business,Urban,50000,0
SUWANEE,GA,GA,300,2,New Business,Urban,2000000,0
STURGEON BAY,WI,WI,120,1,Existing Business,Undefined,307000,0
WEST MONROE,NY,NY,5,2,Existing Business,Rural,37292,1
APPLETON,WI,WI,84,12,New Business,Urban,12000,0
OSHKOSH,WI,WI,120,34,New Business,Undefined,550000,0
BALTIMORE,MD,MD,60,3,Existing Business,Urban,30000,0
DALLAS,TX,TX,120,24,New Business,Urban,155000,0
SEATTLE,WA,WA,35,2,New Business,Urban,165000,1
HUDSON FALLS,NY,DE,84,1,Existing Business,Rural,57000,0
APPLETON,WI,WI,90,1,New Business,Urban,10000,0
LOVELAND,OH,DE,120,3,New Business,Rural,371000,0
NEW ORLEANS,LA,IL,60,7,Existing Business,Undefined,50000,0
MERRILL,WI,WI,32,2,New Business,Rural,31786,1
LOVELAND,OH,DE,48,3,New Business,Rural,39400,0
HOPKINTON,MA,DE,60,1,Existing Business,Urban,93800,0
FLORENCE,MS,MS,180,2,Existing Business,Undefined,100000,0
RAMSEY,NJ,DE,120,1,Existing Business,Urban,350000,0
PACOIMA,CA,SD,300,7,New Business,Undefined,269000,0
LEWISBURG,TN,TN,84,4,Existing Business,Undefined,43000,0
EVERGREEN,CO,OH,40,12,Existing Business,Urban,191100,1
ONALASKA,WI,WI,63,1,New Business,Urban,75000,1
EVERGREEN,CO,OH,43,12,Existing Business,Urban,40000,1
MCCOMB,MS,MS,24,3,New Business,Rural,10100,0
BUFFALO,NY,NY,84,12,New Business,Urban,250000,0
NEW YORK,NY,NJ,83,3,New Business,Urban,140000,1
SUMNER,IA,IA,84,2,New Business,Undefined,47500,0
NEW HOPE,PA,PA,60,6,New Business,Rural,118006,0
SILVER CITY,NM,NM,240,6,New Business,Undefined,595000,0
MARIETTA,GA,SD,2,20,New Business,Urban,30273,1
NILES,MI,IN,119,2,New Business,Rural,53693,0
CORINTH,MS,MS,30,1,Existing Business,Rural,5100,0
ROWLETT,TX,TX,90,3,Existing Business,Urban,300000,0
SCHNECTADY,NY,OH,63,1,New Business,Undefined,50000,0
READING,PA,PA,16,4,New Business,Rural,40000,1
BEL AIR,MD,MD,60,15,New Business,Urban,178000,0
MEMPHIS,TN,MS,133,12,New Business,Urban,553239,0
READING,PA,PA,40,4,New Business,Rural,37065,1
TACOMA,WA,OR,60,7,Existing Business,Undefined,31500,0
LOCKPORT,NY,NY,144,24,New Business,Urban,375000,0
PEARLAND,TX,DC,244,5,Existing Business,Undefined,1038000,0
WASHINGTON,DC,DE,120,1,New Business,Urban,420000,0
SCOTCH PLAINS,NJ,PA,12,2,New Business,Undefined,20000,0
BETHESDA,MD,MD,60,6,New Business,Urban,75000,0
WASHINGTON,DC,DE,8,1,New Business,Urban,19500,0
TULSA,OK,SD,36,6,New Business,Undefined,476000,1
ORCHARD PARK,NY,NY,80,35,New Business,Urban,200000,0
SOMERVILLE,NJ,NJ,300,2,New Business,Undefined,115000,0
NORTH PROVIDENCE,RI,RI,60,1,Existing Business,Urban,50000,0
BALTIMORE,MD,MD,24,4,Existing Business,Undefined,60000,1
SOUTH PORTLAND,ME,DE,25,1,Existing Business,Urban,64033,1
LATIMER,IA,SD,176,2,New Business,Urban,133000,0
HUDSON FALLS,NY,DE,60,2,Existing Business,Rural,25000,0
DES MOINES,IA,IA,84,6,New Business,Rural,200000,1
ATHENS,GA,SD,57,4,New Business,Undefined,276000,1
BURLINGTON,MA,DE,48,5,New Business,Urban,87600,0
SACRAMENTO,CA,SD,84,30,New Business,Undefined,100000,0
Vernon,CT,DE,60,1,Existing Business,Urban,19000,0
HORICON,WI,IL,60,1,Existing Business,Undefined,36000,0
NORTHAMPTON,MA,DE,51,9,New Business,Urban,125000,0
ALBANY,NY,DE,60,4,Existing Business,Urban,19968,0
TULSA,OK,AR,26,35,New Business,Urban,123000,1
SALINAS,CA,CA,120,5,New Business,Undefined,195000,0
REISTERSTOWN,MD,MD,60,3,Existing Business,Urban,125000,0
OREM,UT,OH,180,2,New Business,Undefined,90000,0
WAKEFIELD,MA,DE,84,9,Existing Business,Urban,100000,0
WATERTOWN,CT,DE,7,6,New Business,Urban,100313,0
NORTHAMPTON,MA,MA,60,9,New Business,Rural,250000,0
ALBUQUERQUE,NM,SD,258,1,Existing Business,Undefined,580430,0
